gene_name,Texprog2 vs Texprog1,Texprog2 vs Texint,Texprog2 vs Texterm
0610010F05Rik,0,0,1
1500009L16Rik,1,0,1
1600014C10Rik,0,0,-1
1700025G04Rik,0,0,1
2010012O05Rik,0,-1,0
2610020H08Rik,0,0,-1
2700029M09Rik,0,0,1
2810417H13Rik,1,1,1
4930579G24Rik,0,0,1
9930012K11Rik,0,0,-1
Aak1,0,0,-1
Abcb1a,0,0,-1
Abcb9,0,0,-1
Abcg1,0,0,-1
Abcg3,0,0,-1
Abhd14a,0,0,1
Abi3,0,0,-1
Abr,0,0,-1
Acsbg1,0,-1,0
Acsf2,0,0,-1
Acss2,0,-1,0
Actn1,0,1,1
Adam8,0,0,-1
Adap1,0,1,0
Adcy7,0,0,-1
Adora2a,0,0,-1
Adrb1,0,-1,-1
Afp,0,1,-1
Agpat5,0,0,1
Ahcy,0,0,1
Akna,0,0,-1
Akr1c13,0,-1,0
Alcam,0,0,1
Alg8,0,1,1
Alkbh2,0,0,-1
Alyref2,0,0,-1
Amigo1,-1,0,0
Ammecr1,1,0,1
Anapc15,0,0,1
Angptl4,0,0,-1
Ankrd44,1,0,0
Anln,1,1,1
Ano10,0,0,1
Anp32b,0,0,1
Anp32e,0,0,1
Anxa1,0,0,1
Anxa2,1,0,1
Ap5b1,0,0,-1
Apbb1,0,0,-1
Apbb1ip,0,-1,0
Apex1,0,1,1
Apitd1,0,1,1
Aplp1,0,0,-1
Apobec2,0,0,1
Apol7e,0,0,-1
Apoo,0,0,1
Appl2,0,0,-1
Aqp3,0,0,1
Ar,0,0,1
Arhgap10,0,0,-1
Arhgap11a,1,1,1
Arhgap19,1,1,1
Arhgap31,0,-1,-1
Arhgef18,0,-1,0
Arhgef3,0,0,1
Arl15,0,-1,0
Arl4c,0,0,1
Arl5c,0,0,1
Armc7,0,0,-1
Arrdc3,0,0,-1
Arsb,1,0,0
Art2b,0,0,-1
As3mt,0,-1,1
Asap2,0,0,-1
Asf1b,1,1,1
Asns,0,1,1
Ass1,0,0,1
Atad5,0,0,1
Atic,0,0,1
Atp13a3,1,0,0
Atp1b3,0,0,1
Atp2a3,1,0,0
Aurka,1,1,1
Aurkb,1,1,1
AW011738,0,0,-1
B3gnt1,0,0,1
B3gnt5,0,0,1
B4galt4,0,0,-1
B930041F14Rik,0,0,-1
Bag2,0,0,1
Baiap3,0,-1,0
BC037034,0,0,-1
BC052040,0,1,0
Bcl2l11,0,-1,-1
Bhlhe40,0,-1,0
Birc5,1,1,1
Bmyc,0,1,1
Bora,0,1,1
Bphl,0,1,0
Brip1,1,1,1
Btbd11,0,0,-1
Btbd19,0,0,-1
Btf3l4,0,0,1
Btla,0,1,1
Bub1,1,1,1
Bub1b,1,1,1
Bzw2,0,1,0
C330027C09Rik,1,1,1
Calhm2,0,0,-1
Camkk1,0,0,-1
Capg,0,1,1
Car5b,0,0,1
Casc5,1,0,1
Ccdc109b,0,0,1
Ccdc138,0,0,1
Ccdc34,0,0,1
Ccdc91,0,1,0
Ccl3,0,-1,-1
Ccl4,0,-1,-1
Ccl5,0,-1,-1
Ccna2,1,1,1
Ccnb1,1,1,1
Ccnb2,1,1,1
Ccne1,0,0,1
Ccne2,0,0,1
Ccnf,1,1,1
Ccp110,1,0,0
Ccr2,1,0,0
Ccr5,0,0,-1
Ccrl2,0,0,-1
Cd101,-1,0,-1
Cd160,-1,0,-1
Cd200,0,1,0
Cd200r1,-1,0,-1
Cd200r4,0,-1,-1
Cd226,0,-1,0
Cd244,0,-1,-1
Cd2ap,0,0,1
Cd38,0,0,-1
Cd3e,0,0,-1
Cd3g,0,0,-1
Cd44,0,0,1
Cd55,0,0,1
Cd7,0,0,-1
Cd86,0,-1,0
Cd8a,0,0,-1
Cd9,0,1,1
Cdc14b,0,0,1
Cdc20,1,1,1
Cdc25b,1,0,1
Cdc25c,1,1,1
Cdc42ep4,0,0,1
Cdc45,1,1,1
Cdc6,1,1,1
Cdca2,1,1,1
Cdca3,1,1,1
Cdca5,1,1,1
Cdca7,1,1,1
Cdca8,1,1,1
Cdk1,1,1,1
Cdk2,1,0,1
Cdkn2c,1,0,0
Cdkn2d,0,0,1
Cecr5,0,0,-1
Cela1,0,0,-1
Cenpa,1,0,1
Cenpe,1,1,1
Cenpf,1,1,1
Cenph,0,1,1
Cenpi,0,0,1
Cenpm,1,1,1
Cenpt,0,0,1
Cenpw,0,0,1
Cep55,1,1,1
Cep83,0,0,1
Cep85,0,0,1
Cers4,0,0,-1
Chaf1a,1,1,1
Chek1,0,0,1
Chn2,0,-1,-1
Chpt1,0,-1,0
Chst12,0,0,-1
Chst2,0,0,-1
Chtf18,0,1,1
Cipc,0,0,-1
Cisd3,0,0,1
Cish,0,-1,-1
Cit,1,0,1
Ckap2,1,1,1
Ckap2l,1,1,1
Ckb,0,0,-1
Cks1b,1,1,1
Cks2,1,0,1
Cldn25,0,0,1
Clgn,1,1,1
Clpb,0,0,1
Cmpk2,0,1,0
Cnrip1,0,0,1
Coq7,0,1,0
Coro2a,0,0,-1
Cpm,0,1,1
Cpne3,0,0,1
Crebl2,0,0,-1
Crim1,0,0,-1
Crip1,1,0,0
Crip2,0,0,1
Crmp1,1,0,1
Crot,0,0,-1
Crtam,-1,1,1
Csf1,0,0,-1
Csprs,0,0,1
Csrp1,0,0,1
Cst7,0,0,-1
Ctla2b,0,1,0
Ctnna1,0,0,1
Ctps,0,1,1
Ctsa,0,0,-1
Ctsd,0,-1,0
Ctss,0,1,0
Ctsz,0,1,1
Cux1,0,0,1
Cx3cr1,1,-1,0
Cxcl10,-1,1,1
Cxcr3,0,1,0
Cxcr4,0,0,1
Cxcr5,-1,1,1
Cxcr6,0,-1,-1
Cyp51,0,1,1
Cysltr2,0,0,-1
Cyth4,0,-1,0
D1Ertd622e,0,-1,0
D8Ertd82e,0,-1,-1
Dap3,0,0,1
Dapk2,0,-1,-1
Dbf4,0,0,1
Dbi,0,0,1
Dck,0,0,1
Dctpp1,0,0,1
Ddias,0,0,1
Ddit3,0,0,-1
Ddx28,0,-1,-1
Dennd4c,1,0,0
Dennd5a,0,-1,-1
Depdc1a,0,0,1
Depdc1b,1,1,1
Depdc5,1,0,0
Dera,0,0,1
Dgkh,0,0,-1
Dgkq,0,-1,0
Dhfr,1,1,1
Dhrs1,0,0,1
Dlgap5,1,1,1
Dna2,0,0,1
Dnah8,0,0,1
Dnajb14,0,-1,0
Dnajc27,0,0,1
Dnmt1,1,0,0
Dock5,0,-1,0
Dpp4,0,1,0
Dscc1,1,1,1
Dse,0,0,1
Dsn1,0,0,1
Dtl,1,1,1
Dtx1,-1,0,-1
Dtx4,0,0,-1
Dusp2,0,0,-1
Dusp4,0,1,1
Dusp5,0,-1,-1
Dusp6,0,0,-1
E2f1,1,0,1
E2f2,0,0,1
E2f7,1,0,1
E2f8,1,1,1
Ect2,0,1,1
Efhd2,0,0,-1
Ehd3,0,0,1
Eif4e3,0,0,-1
Elp3,-1,0,0
Emb,0,1,1
Emc9,0,0,1
Eme1,0,1,1
Emp1,1,-1,1
Enpp2,0,1,1
Enpp4,0,0,-1
Enpp5,0,0,-1
Entpd1,0,-1,-1
Entpd5,0,1,0
Epcam,0,1,0
Erc1,0,0,1
Ercc6l,1,1,1
Esco2,1,1,1
Etv3,0,0,-1
Exo1,0,1,1
Ezh2,0,0,1
F2r,0,-1,-1
F2rl2,0,-1,-1
F2rl3,1,0,1
Faah,0,0,1
Fabp5,0,0,1
Fam101b,-1,1,-1
Fam102a,0,0,-1
Fam129b,1,0,1
Fam134b,0,1,0
Fam160a2,0,0,-1
Fam189b,0,0,-1
Fam64a,0,0,1
Fam69a,0,0,1
Fam78a,0,0,-1
Fanci,1,1,1
Fas,0,0,1
Fasl,0,-1,-1
Fbxl2,0,0,1
Fbxo31,0,-1,0
Fbxo5,1,1,1
Fchsd2,0,1,0
Fdps,0,1,0
Fen1,0,1,0
Fgf13,0,0,1
Fgfr1op,0,1,1
Fgl2,0,-1,-1
Fignl1,1,1,1
Fkbp10,0,-1,0
Fkbp2,0,0,1
Flna,1,0,1
Flnb,1,0,0
Folr4,0,0,-1
Foxm1,0,0,1
Foxn3,0,0,-1
Frmd4b,0,0,-1
Fzr1,0,1,1
Gadd45b,0,0,-1
Gadd45g,0,0,1
Gas2l3,1,0,1
Gas7,0,0,1
Gatsl3,0,0,1
Gbp6,-1,1,-1
Gcnt1,0,1,0
Gdf11,0,0,-1
Gem,0,0,-1
Gen1,0,0,1
Gfi1,0,0,-1
Gfod1,1,0,0
Ggt1,1,0,1
Gins1,0,1,1
Gins2,0,1,1
Glcci1,0,0,-1
Glipr2,0,0,1
Glrx,0,0,-1
Gm12185,0,1,-1
Gm12216,0,0,-1
Gm12253,0,0,-1
Gm14446,0,0,-1
Gm15280,0,0,1
Gm2000,0,0,1
Gm21994,0,0,-1
Gm2a,0,0,1
Gm5595,0,1,0
Gm7609,0,0,1
Gmnn,1,1,1
Gna15,0,0,1
Gnaq,0,0,1
Gnl3,0,1,1
Gns,0,-1,0
Gp49a,0,0,-1
Gpd2,0,0,-1
Gpr146,0,0,1
Gpr18,-1,1,0
Gpr183,0,1,1
Gpr55,0,0,-1
Gpr56,0,-1,-1
Gpr65,0,0,-1
Gpr68,0,-1,0
Gprin3,0,0,1
Gpsm2,1,1,1
Gramd1a,0,0,-1
Gramd3,0,0,1
Gramd4,0,0,1
Grwd1,0,1,0
Gsap,0,-1,0
Gse1,0,0,-1
Gsg2,1,0,0
Gtf2i,0,-1,0
Gzma,0,-1,-1
Gzmb,1,-1,-1
Gzmk,0,0,-1
H2-Q10,0,0,1
H2afx,0,1,1
H2afz,0,0,1
H6pd,0,0,-1
Haao,0,0,1
Haus1,0,0,1
Havcr2,0,-1,-1
Hcst,0,-1,-1
Hdac10,0,0,1
Hdac4,0,0,-1
Hdgfrp3,0,0,1
Hells,0,1,1
Hexb,0,0,1
Hiatl1,0,-1,0
Hic1,0,0,-1
Hid1,0,-1,-1
Hint1,0,0,1
Hist1h1e,1,0,0
Hist1h2ae,1,1,1
Hist1h2ap,1,1,1
Hivep3,0,0,-1
Hjurp,0,0,1
Hmgb2,0,1,1
Hmgb3,0,1,1
Hmgn2,0,0,1
Hmgn5,0,0,1
Hmmr,1,1,1
Hn1l,0,1,1
Hook1,0,1,0
Hopx,0,-1,0
Hrh2,0,0,-1
Hs3st3b1,0,-1,0
Hyls1,1,0,1
I830012O16Rik,-1,1,0
Ica1,0,0,-1
Icam1,0,0,-1
Icam2,0,0,1
Icos,-1,0,0
Id2,0,-1,-1
Idh2,0,0,1
Ifi204,-1,1,0
Ifi44,0,1,0
Ifih1,-1,0,0
Ifit1,-1,1,0
Ifit3,-1,1,0
Ifitm10,0,-1,0
Ifng,0,0,-1
Ifngr1,1,-1,0
Ighm,0,1,0
Iigp1,0,1,0
Il10ra,0,0,-1
Il12rb1,0,0,-1
Il12rb2,0,-1,0
Il15ra,0,0,-1
Il18r1,0,0,1
Il18rap,0,-1,1
Il21r,0,0,-1
Il7r,0,1,1
Ildr1,0,0,-1
Impa2,0,1,0
Inadl,0,1,0
Incenp,1,1,1
Inpp4a,0,0,-1
Iqgap2,1,0,1
Iqgap3,0,0,1
Irak2,0,0,-1
Irf1,0,0,-1
Itfg3,0,0,1
Itgam,0,-1,0
Itgav,0,0,-1
Itgax,0,-1,0
Itgb1,0,0,1
Itgb3,1,0,0
Itgb7,0,0,1
Itih5,0,0,-1
Itk,0,0,-1
Jup,0,-1,0
Kbtbd11,0,1,1
Kcna3,0,0,-1
Kcnip3,-1,1,1
Kcnn4,0,0,1
Khnyn,0,0,-1
Kif11,1,1,1
Kif15,0,1,1
Kif18a,1,1,1
Kif18b,1,0,1
Kif20a,1,1,1
Kif22,1,1,1
Kif23,1,1,1
Kif2c,1,1,1
Kif4,1,1,1
Kifc1,0,0,1
Klf2,0,-1,1
Klf3,0,-1,1
Klhdc2,0,0,1
Klhl25,0,0,-1
Klhl6,0,0,1
Klk8,0,0,-1
Klra3,0,-1,0
Klrc1,0,-1,0
Klrc2,0,-1,0
Klrd1,0,-1,0
Klre1,0,-1,0
Klrg1,0,-1,0
Klrk1,0,-1,1
Knstrn,1,1,1
Kntc1,1,1,1
Kpna2,0,1,1
L1cam,1,-1,0
L3mbtl3,0,0,-1
Lag3,-1,0,-1
Lair1,0,0,1
Lamb3,0,-1,0
Lancl2,0,0,1
Lancl3,0,0,1
Lap3,0,1,0
Larp1b,0,0,1
Lats2,0,-1,0
Lax1,0,0,-1
Lcp2,0,0,-1
Ldhb,-1,1,0
Ldlrap1,0,0,1
Lef1,0,0,1
Lfng,0,-1,0
Lgals1,1,0,1
Lgals3,1,0,1
Lig1,1,1,1
Litaf,0,0,-1
Lmna,0,0,1
Lmnb1,1,1,1
Lpar6,0,0,-1
Lpin1,0,-1,0
Lrrc8b,1,0,1
Lrrk1,0,-1,-1
Ltb,-1,1,0
Ly6c2,0,0,1
Ly6e,0,1,0
Lyst,0,-1,0
Mad2l1,1,1,1
Man1c1,0,0,1
Map3k4,0,0,-1
Map3k8,0,0,1
Marcksl1,0,1,0
Marveld1,0,-1,0
Mast3,0,0,-1
Matk,0,-1,0
Mbnl3,0,1,1
Mboat1,0,1,1
Mcm10,1,1,1
Mcm2,0,1,1
Mcm3,1,1,1
Mcm5,0,0,1
Mcm6,0,0,1
Mcm7,0,0,1
Mcm8,0,0,1
Med7,0,0,-1
Melk,1,1,1
Metrnl,0,-1,-1
Mettl1,0,1,0
Mfhas1,0,0,1
Mgrn1,0,1,0
Mical2,0,0,-1
Mis18bp1,0,0,1
Mki67,1,1,1
Mknk2,0,-1,0
Mnda,-1,1,1
Mocos,0,0,-1
Mpp6,0,1,1
Ms4a4c,0,1,1
Msl3l2,-1,1,1
Mtfr2,1,1,1
Mthfd1,0,1,1
Mthfd2,0,1,0
Mtmr10,0,-1,0
Mxd4,0,0,-1
Myadm,1,0,1
Myb,0,1,1
Mybl2,1,1,1
Myc,0,1,1
Mylip,0,-1,0
Myo5a,1,0,1
N4bp1,0,-1,0
Nabp1,0,-1,0
Napepld,0,0,1
Natd1,0,0,-1
Nbn,0,1,1
Ncapd2,1,1,1
Ncapg,1,1,1
Ncapg2,1,0,1
Ncaph,1,1,1
Nccrp1,0,0,1
Ncoa7,0,1,0
Ndc1,0,0,1
Ndc80,0,1,1
Ndfip2,0,-1,0
Ndnf,0,-1,-1
Ndrg2,0,0,1
Ndrg4,0,-1,0
Nedd4,0,0,-1
Nedd9,0,0,-1
Nek2,1,1,1
Nek7,0,0,1
Nfatc1,0,0,-1
Nfatc3,0,-1,0
Nipal3,0,-1,0
Nkg7,0,0,-1
Nlk,0,0,-1
Nmral1,0,1,1
Nop2,0,1,0
Nqo2,1,0,0
Nr1d2,0,-1,-1
Nr4a2,0,0,-1
Nrm,1,0,1
Nrp1,0,0,1
Nt5c,0,0,1
Nt5e,0,1,1
Nuf2,1,1,1
Nup93,0,0,1
Nusap1,1,1,1
Nutf2-ps1,0,0,1
Oas3,0,1,0
Oasl1,0,1,0
Oasl2,0,1,0
Ogfrl1,0,1,1
Oip5,0,0,1
Orc6,0,0,1
Pacsin1,-1,0,-1
Pacsin2,1,0,0
Padi2,0,-1,-1
Pak4,0,0,-1
Paqr4,1,0,1
Parpbp,0,1,1
Pask,1,0,1
Pbdc1,0,0,1
Pbk,1,1,1
PCDHGB6,1,0,0
Pcna,1,0,1
Pdcd1,0,0,-1
Pde2a,0,-1,0
Pde3b,0,0,-1
Pde4b,0,0,-1
Pde7a,0,0,-1
Pdgfb,-1,-1,-1
Pdk2,-1,0,0
Pdlim1,0,1,1
Pea15a,0,-1,0
Peak1,0,0,-1
Pecam1,0,1,1
Pelo,0,0,-1
Pgam1-ps2,0,1,0
Pglyrp2,0,0,-1
Phf1,0,0,-1
Phf11c,0,1,0
Phf13,0,-1,0
Pik3ap1,0,0,-1
Pitpnc1,0,0,-1
Pkp4,-1,0,0
Plcg1,0,0,-1
Plcxd1,0,0,-1
Plec,0,0,1
Plek,0,0,1
Plekha1,0,0,-1
Plekhf1,0,-1,-1
Plin3,0,0,1
Plk1,1,1,1
Plk4,0,0,1
Plp2,1,0,1
Plxnc1,0,1,1
Pmaip1,0,-1,0
Pmf1,0,1,1
Pmm1,1,1,1
Pogk,0,-1,1
Poglut1,0,0,1
Pola1,1,0,1
Pold1,0,0,1
Pole,0,0,1
Popdc2,0,0,1
Pou2f2,0,0,1
Pou6f1,0,1,0
Ppa1,0,1,1
Ppap2c,0,-1,0
Ppil1,0,0,1
Ppm1j,0,-1,0
Ppp1r14b,0,0,1
Ppp1r16b,0,0,-1
Prc1,1,1,1
Prdm1,1,-1,-1
Prf1,0,-1,-1
Prim1,1,0,1
Prim2,0,1,1
Prkag2,0,0,1
Prkch,0,0,-1
Prkd3,0,-1,0
Prmt2,0,0,-1
Prr5l,0,-1,0
Prss16,0,0,1
Psat1,0,1,1
Psd4,0,0,-1
Psmc3ip,0,0,1
Ptger2,-1,0,0
Ptger4,0,0,-1
Ptk2b,0,0,-1
Ptpn4,0,-1,-1
Ptpn6,0,1,1
Pxylp1,0,-1,0
Pycard,1,0,1
Rab11fip1,0,0,-1
Rab11fip4,0,-1,0
Rab32,0,1,1
Racgap1,0,0,1
Rad51,1,1,1
Rad51ap1,1,1,1
Rad54b,1,1,1
Rad54l,1,1,1
Raly,1,0,0
Rap1b,0,-1,0
Rap1gap2,0,-1,0
Rap2a,0,-1,1
Rara,0,-1,1
Rasa3,0,0,1
Rasgrp2,1,0,1
Rassf3,0,0,1
Rbbp8,0,0,1
Rcc1,1,1,1
Rcn1,0,0,-1
Rcsd1,0,0,1
Rdh10,0,0,-1
Reck,0,0,1
Relb,-1,0,0
Ret,0,0,-1
Rexo2,0,1,1
Rfc4,0,1,1
Rgs1,-1,0,-1
Rgs3,0,0,-1
Rhoq,0,-1,0
Rmi2,0,0,1
Rnaseh2b,0,0,1
Rnaset2b,0,0,-1
Rnf130,0,0,-1
Rnf138,0,0,1
Rnf144a,1,0,1
Rnf149,0,0,-1
Rnf157,0,1,0
Rnf43,0,1,0
Rom1,1,0,1
Rpl12,0,1,0
Rpl15,0,0,1
Rps6ka1,0,0,-1
Rptor,0,-1,0
Rrm1,1,1,1
Rrm2,1,1,1
Rrp12,0,0,1
Rrp15,0,1,0
Rtel1,1,0,0
Rtn4rl1,0,-1,-1
Rundc3b,0,0,-1
Runx1,1,-1,0
Runx3,0,0,-1
S100a4,1,0,0
S1pr1,1,0,1
S1pr5,0,-1,0
Samd3,-1,0,1
Samsn1,0,0,-1
Sapcd2,1,1,1
Satb1,0,0,1
Sbk1,0,0,1
Scarb1,0,0,1
Scd2,0,0,1
Scml4,0,0,1
Scpep1,0,0,1
Sell,0,1,1
Sema4a,0,-1,0
Sema4f,0,0,1
Sepn1,0,-1,-1
11-Sep,1,0,1
4-Sep,0,0,-1
Serpina3f,-1,1,-1
Serpina3g,0,0,-1
Serpinb6b,0,0,-1
Setx,0,0,1
Sgk1,0,-1,1
Sgms1,0,1,1
Sgol1,1,1,1
Sgol2,0,1,1
Sh2b3,0,1,1
Sh2d2a,0,0,-1
Sh2d3c,0,0,-1
Sh3bp2,0,0,-1
Sh3bp5,0,0,1
Sh3d19,0,0,-1
Shcbp1,1,1,1
Shmt1,0,1,1
Sidt1,0,1,1
Sigmar1,0,0,1
Sike1,0,0,1
Ska3,1,1,1
Slamf1,0,-1,-1
Slamf6,0,1,1
Slc16a1,0,1,1
Slc16a6,0,0,-1
Slc22a15,0,0,-1
Slc25a33,0,0,1
Slc25a53,0,0,-1
Slc26a11,0,1,0
Slc28a2,0,0,-1
Slc2a3,0,-1,0
Slc2a8,0,0,-1
Slc36a1,0,0,-1
Slc39a11,0,0,1
Slc39a6,0,0,-1
Slc41a1,0,0,-1
Slc43a3,0,1,1
Slc45a4,0,0,-1
Slc9a7,0,0,1
Slco3a1,0,0,1
Slfn5,0,1,1
Slfn9,0,0,1
Smad1,0,1,0
Smad3,0,-1,0
Smad7,0,0,-1
Smc2,0,1,1
Smpd5,0,0,-1
Smpdl3b,0,-1,0
Smtn,1,0,1
Smyd2,0,1,1
Snai3,0,0,-1
Snx10,0,-1,0
Snx18,0,-1,0
Snx33,0,0,-1
Soat2,0,0,-1
Socs1,-1,1,0
Socs3,0,1,0
Sord,1,0,0
Sp1,1,0,0
Spag5,1,1,1
Spata13,0,-1,0
Spc24,1,1,1
Spc25,1,1,1
Spdl1,0,1,1
Spice1,0,0,1
Spin2c,0,0,-1
Spint2,0,1,0
Spn,0,-1,0
Spock2,0,1,1
Sptan1,1,0,0
Sptbn1,1,0,1
Sqle,0,0,1
Srbd1,0,0,-1
Srm,0,1,1
Ssh2,0,0,1
Ssx2ip,0,1,1
St14,0,0,-1
St3gal3,0,0,-1
Stard10,0,-1,0
Steap3,0,0,1
Stil,1,1,1
Stmn1,1,0,1
Strbp,0,1,0
Stx2,0,0,1
Sun1,0,0,1
Suox,0,-1,0
Susd2,0,0,-1
Susd3,0,0,-1
Suv39h1,0,1,1
Suv39h2,0,1,1
Syne2,0,0,-1
Syngr3,1,0,0
Sytl1,0,-1,-1
Sytl2,1,-1,-1
Tacc3,1,1,1
Taf4b,0,0,1
Tagln2,0,0,1
Tapbpl,0,0,-1
Tax1bp3,0,-1,0
Tbc1d2,1,0,0
Tbkbp1,0,-1,0
Tbx21,0,-1,0
Tcf19,1,1,1
Tcf7,0,1,1
Tcirg1,0,0,-1
Tcrg-C1,0,0,-1
Tcrg-C2,0,0,-1
Tdp1,0,1,1
Tef,0,-1,-1
Tesk1,0,0,-1
Tgtp1,-1,1,0
Thada,0,1,0
Thoc6,0,1,1
Tigit,0,0,-1
Timm8a1,0,0,1
Timp2,0,-1,0
Tipin,0,0,1
Tk1,1,1,1
Tlr12,0,0,-1
Tm6sf1,0,-1,0
Tmem104,0,-1,0
Tmem135,0,0,-1
Tmem140,0,0,-1
Tmem154,0,0,1
Tmem159,0,-1,-1
Tmem237,0,0,1
Tmem37,0,-1,0
Tmem38b,0,0,-1
Tmem50b,0,0,1
Tmem71,0,-1,0
Tmem97,0,1,1
Tmpo,0,0,1
Tmtc4,0,0,-1
Tnfaip1,0,0,1
Tnfaip3,0,-1,-1
Tnfaip8,0,1,0
Tnfaip8l1,0,0,1
Tnfrsf1a,0,0,-1
Tnfrsf1b,0,0,-1
Tnfrsf22,0,0,1
Tnfrsf25,0,0,1
Tnfrsf8,0,0,1
Tnfsf10,0,0,-1
Tnfsf4,-1,1,1
Tnfsf8,0,1,1
Tnk2,0,0,-1
Top1mt,0,0,1
Top2a,1,1,1
Tox2,0,1,0
Tpd52,0,1,1
Tpi1,0,1,1
Tpm4,0,0,1
Tppp3,0,0,1
Tpx2,1,1,1
Traf1,0,1,0
Traip,0,1,1
Trappc10,1,0,0
Trbv13-3,0,0,-1
Trim36,0,0,-1
Trip13,1,1,1
Tsc22d3,0,0,1
Tspan3,0,1,0
Tspan31,0,0,1
Tspan32,0,0,1
Tsr1,0,1,0
Ttc13,0,0,1
Ttk,1,1,1
Tuba1b,0,1,1
Tuba1c,1,0,1
Tubb4b,0,1,1
Tubb5,0,0,1
Txndc5,0,0,1
Tyms,1,1,1
Ubash3a,0,0,-1
Ubash3b,0,-1,-1
Ube2c,0,1,1
Ube2s,1,0,0
Ube2t,0,0,1
Uck2,0,0,1
Ugcg,0,-1,-1
Uhrf1,1,1,1
Uhrf1bp1l,0,0,1
Usp18,0,1,0
Usp20,0,0,-1
Usp33,0,0,1
Utp14a,0,0,1
Vars,0,1,0
Vcl,0,0,1
Vegfb,0,1,0
Vim,1,0,1
Vps37b,0,0,-1
Vps37c,0,0,-1
Wbp1,0,0,-1
Wdhd1,1,0,1
Wdr62,0,0,1
Wee1,0,1,0
Xndc1,1,0,0
Zbed4,1,0,0
Zbtb32,0,0,1
Zbtb38,0,0,-1
Zbtb4,0,0,-1
Zdhhc2,0,0,1
Zeb2,0,-1,0
Zfp120,0,-1,-1
Zfp26,1,0,0
Zfp36l1,0,0,1
Zfp395,0,0,-1
Zfp422,0,0,1
Zfp512,0,0,-1
Zfp652,0,-1,-1
Zfp874b,0,-1,0
Zfp937,0,0,-1
Zmynd8,0,0,-1
Zscan20,0,0,-1
Zwilch,0,0,1