Run,organ,pre-transfer_matched_sample,source_name,stimulation
SRR10108577,Peritoneum,SPL_PreTransfer_rep1,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108579,Peritoneum,SPL_PreTransfer_rep1,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108580,Peritoneum,SPL_PreTransfer_rep2,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108581,Lung Airway,SPL_PreTransfer_rep1,Spleen CD8 memory T cells transferred into the airways of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108582,Lung Airway,SPL_PreTransfer_rep2,Spleen CD8 memory T cells transferred into the airways of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108583,Lung Airway,SPL_PreTransfer_rep1,Spleen CD8 memory T cells transferred into the airways of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108584,Lung Airway,SPL_PreTransfer_rep2,Spleen CD8 memory T cells transferred into the airways of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108585,Lung Airway,SPL_PreTransfer_rep3,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108586,Lung Airway,SPL_PreTransfer_rep3,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108587,Lung Airway,SPL_PreTransfer_rep3,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108588,Lung Airway,SPL_PreTransfer_rep4,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108589,Lung Airway,SPL_PreTransfer_rep4,Spleen CD8 memory T cells transferred into the airways of congenic mice during acute Sendai infection,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108590,Lung Airway,BAL_Pre_InVitro_rep1,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108591,Lung Airway,BAL_Pre_InVitro_rep2,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108592,Lung Airway,BAL_Pre_InVitro_rep3,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108593,Lung Airway,BAL_Pre_InVitro_rep1,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108594,Lung Airway,BAL_Pre_InVitro_rep2,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108595,Lung Airway,BAL_Pre_InVitro_rep3,Airway CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108596,Spleen,SPL_Pre_InVitro_rep2,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108597,Spleen,SPL_PreTransfer_rep2,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108598,Spleen,SPL_Pre_InVitro_rep1,Spleen CD8 memory T cells cultured in vitro in complete media for 48 hours,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108599,Spleen,NA,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108600,Spleen,NA,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108601,Spleen,NA,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108602,Spleen,NA,Spleen CD8 memory T cells FACS sorted for RNA before in vitro cuture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108603,Lung Airway,NA,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108604,Lung Airway,NA,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108605,Lung Airway,NA,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108606,Lung Airway,NA,Airway CD8 memory T cells FACS sorted for RNA before in vitro culture,"35 days post Influenza X31 infection, 2 days post-transfer"
SRR10108578,Peritoneum,SPL_PreTransfer_rep2,Spleen CD8 memory T cells transferred into the peritoneum of congenic mice,"35 days post Influenza X31 infection, 2 days post-transfer"